Year,Sci_name,count,species_id
2000,Bucephala clangula,3896,1
2001,Bucephala clangula,4674,1
2002,Bucephala clangula,3616,1
2003,Bucephala clangula,4751,1
2004,Bucephala clangula,4302,1
2005,Bucephala clangula,3518,1
2006,Bucephala clangula,3970,1
2007,Bucephala clangula,3403,1
2008,Bucephala clangula,3979,1
2009,Bucephala clangula,4262,1
2010,Bucephala clangula,3523,1
2011,Bucephala clangula,4446,1
2012,Bucephala clangula,3878,1
2013,Bucephala clangula,3953,1
2014,Bucephala clangula,2852,1
2015,Bucephala clangula,1788,1
2016,Bucephala clangula,1912,1
2017,Bucephala clangula,2703,1
2018,Bucephala clangula,3404,1
2019,Bucephala clangula,2636,1
2020,Bucephala clangula,3313,1
2000,Gavia arctica,1430,2
2001,Gavia arctica,1392,2
2002,Gavia arctica,1731,2
2003,Gavia arctica,2208,2
2004,Gavia arctica,1957,2
2005,Gavia arctica,2594,2
2006,Gavia arctica,1839,2
2007,Gavia arctica,1465,2
2008,Gavia arctica,2706,2
2009,Gavia arctica,2979,2
2010,Gavia arctica,3463,2
2011,Gavia arctica,2266,2
2012,Gavia arctica,3538,2
2013,Gavia arctica,2821,2
2014,Gavia arctica,3159,2
2015,Gavia arctica,1768,2
2016,Gavia arctica,2337,2
2017,Gavia arctica,2630,2
2018,Gavia arctica,3729,2
2019,Gavia arctica,2793,2
2020,Gavia arctica,5150,2
2000,Haematopus ostralegus,1073,3
2001,Haematopus ostralegus,1545,3
2002,Haematopus ostralegus,1282,3
2003,Haematopus ostralegus,1319,3
2004,Haematopus ostralegus,1295,3
2005,Haematopus ostralegus,1783,3
2006,Haematopus ostralegus,1464,3
2007,Haematopus ostralegus,938,3
2008,Haematopus ostralegus,1583,3
2009,Haematopus ostralegus,1257,3
2010,Haematopus ostralegus,1885,3
2011,Haematopus ostralegus,3192,3
2012,Haematopus ostralegus,624,3
2013,Haematopus ostralegus,3163,3
2014,Haematopus ostralegus,957,3
2015,Haematopus ostralegus,725,3
2016,Haematopus ostralegus,1307,3
2017,Haematopus ostralegus,986,3
2018,Haematopus ostralegus,924,3
2019,Haematopus ostralegus,990,3
2020,Haematopus ostralegus,1006,3
2000,Larus ridibundus,1215,4
2001,Larus ridibundus,804,4
2002,Larus ridibundus,1236,4
2003,Larus ridibundus,1305,4
2004,Larus ridibundus,1873,4
2005,Larus ridibundus,1155,4
2006,Larus ridibundus,1879,4
2007,Larus ridibundus,2122,4
2008,Larus ridibundus,2967,4
2009,Larus ridibundus,1755,4
2010,Larus ridibundus,1948,4
2011,Larus ridibundus,3707,4
2012,Larus ridibundus,1571,4
2013,Larus ridibundus,2871,4
2014,Larus ridibundus,1029,4
2015,Larus ridibundus,670,4
2016,Larus ridibundus,523,4
2017,Larus ridibundus,490,4
2018,Larus ridibundus,1381,4
2019,Larus ridibundus,1132,4
2020,Larus ridibundus,400,4
2000,Numenius arquata,1054,5
2001,Numenius arquata,1613,5
2002,Numenius arquata,407,5
2003,Numenius arquata,863,5
2004,Numenius arquata,1534,5
2005,Numenius arquata,709,5
2006,Numenius arquata,2509,5
2007,Numenius arquata,769,5
2008,Numenius arquata,1840,5
2009,Numenius arquata,2748,5
2010,Numenius arquata,2250,5
2011,Numenius arquata,2950,5
2012,Numenius arquata,762,5
2013,Numenius arquata,972,5
2014,Numenius arquata,1550,5
2015,Numenius arquata,684,5
2016,Numenius arquata,1304,5
2017,Numenius arquata,254,5
2018,Numenius arquata,1600,5
2019,Numenius arquata,2608,5
2020,Numenius arquata,996,5
